Branching positions in your datasets
shift	4	8	16	32	64	128	256	512	1024	2048
0	3	5	6	9	9	11	12	13	13	15	
1	3	5	8	8	12	9	12	13	14	14	
2	3	3	6	8	6	11	12	14	15	15	
3	3	4	7	7	7	11	12	12	13	15	
4	3	4	6	8	9	11	11	12	14	13	
5	3	5	6	7	7	10	10	12	15	15	
6	3	5	7	9	8	9	10	13	15	16	
7	3	5	7	9	9	13	11	14	12	14	
8	3	5	5	9	8	10	13	12	14	15	
9	3	4	7	8	11	10	11	12	13	15	
10	2	4	6	10	10	12	11	13	14	13	
11	3	6	7	10	10	10	11	13	13	13	
12	3	4	8	9	10	10	11	13	15	14	
13	3	5	8	8	8	10	12	13	15	16	
14	3	4	7	7	9	9	12	12	14	14	
15	2	6	6	7	9	13	13	12	15	15	
16	3	5	7	9	7	10	13	12	15	15	
17	2	6	7	7	10	11	12	12	15	15	
18	3	7	6	7	10	10	12	13	12	15	
19	3	6	5	7	8	11	10	11	12	15	
20	3	4	8	8	8	10	11	13	14	16	
21	3	5	8	6	10	10	11	14	14	14	
22	3	6	7	8	9	10	12	12	15	15	
23	3	5	6	7	8	11	12	13	13	16	
24	3	6	5	8	10	9	10	13	15	14	
25	3	5	6	9	10	10	12	15	13	17	
26	3	6	5	8	9	11	12	13	14	15	
27	2	5	6	6	8	9	10	12	12	14	
28	3	5	8	8	9	10	12	13	13	15	
29	3	6	7	9	9	11	13	11	13	15	
30	3	5	7	9	8	9	10	12	13	15	
31	3	5	6	6	10	9	10	12	13	13	
32	3	5	7	8	8	13	12	13	14	14	
33	3	4	7	8	9	13	11	11	14	16	
34	3	6	5	7	8	10	11	12	15	15	
35	3	5	6	8	7	10	11	12	15	17	
36	3	5	8	8	10	9	11	14	14	13	
37	3	6	6	7	9	13	12	14	12	14	
38	3	5	5	7	7	11	11	13	15	14	
39	3	7	5	8	10	12	10	11	16	14	
40	3	5	6	7	8	10	11	13	14	16	
41	3	5	6	7	8	11	13	12	16	14	
42	3	5	6	9	9	9	11	11	12	15	
43	3	7	6	6	9	9	11	12	14	15	
44	3	5	6	7	8	11	13	13	12	14	
45	3	4	7	8	7	10	10	12	13	14	
46	3	5	6	8	10	8	12	13	13	13	
47	3	5	5	9	9	9	10	13	14	16	
48	3	5	6	8	11	10	10	12	13	15	
49	3	5	8	7	9	10	13	11	14	15	
50	3	4	7	11	9	11	12	12	13	16	
51	3	5	7	9	8	10	10	13	13	16	
52	3	6	6	7	9	11	11	11	12	15	
53	3	4	8	8	10	10	11	11	13	14	
54	3	5	7	8	9	12	12	13	14	14	
55	3	6	8	8	11	9	11	13	14	15	
56	3	6	7	8	10	11	10	13	14	14	
57	3	6	7	10	10	10	11	13	13	13	
58	3	5	6	7	9	9	12	13	14	16	
59	3	4	6	7	9	9	12	12	16	14	
60	3	4	8	8	9	12	12	10	15	13	
61	3	4	8	8	9	12	12	12	15	14	
62	3	4	6	9	10	12	10	14	13	15	
63	3	6	9	8	8	9	10	13	15	14	
64	3	4	5	8	11	11	11	14	12	13	
65	3	4	7	7	10	11	11	12	15	13	
66	3	6	5	9	9	8	11	12	13	15	
